,Test Data,Predicted Price,Difference,C
242,17.0,16.884366301252513,0.1156336987474873,1.0
243,12.0,12.018596673044144,0.018596673044143586,1.0
244,16.4,16.433495956472157,0.03349595647215864,1.0
245,16.3,16.334476580511733,0.034476580511732635,1.0
246,14.5,14.519812507872599,0.019812507872599028,1.0
247,12.0,11.997727027208407,0.0022729727915926645,0.0
248,16.7,16.643474475046332,0.05652552495366692,1.0
249,16.2,16.206873093544495,0.00687309354449539,0.0
250,16.2,16.444889213780005,0.24488921378000583,1.0
251,14.5,14.49900979385511,0.0009902061448894273,0.0
252,15.8,15.769158815110863,0.030841184889137452,1.0
253,16.2,16.453835297159088,0.2538352971590889,1.0
254,16.8,16.748848069129156,0.05115193087084435,1.0
255,13.1,12.99424625804231,0.10575374195768994,1.0
256,11.0,11.013247856370898,0.013247856370897537,1.0
257,15.6,15.590162229818079,0.009837770181921002,0.0
258,15.6,15.592380363304999,0.007619636695000764,0.0
259,16.3,16.315578697635992,0.01557869763599129,1.0
260,16.3,16.3028593361585,0.0028593361585009802,0.0
261,16.7,16.593586147278153,0.10641385272184678,1.0
262,13.1,13.186891220017122,0.08689122001712235,1.0
263,11.0,11.006533985311565,0.006533985311564905,0.0
264,15.9,16.08702721773114,0.18702721773114028,1.0
265,16.2,16.20523038235879,0.005230382358789143,0.0
266,10.9,10.897189539101838,0.0028104608981625034,0.0
267,16.3,16.285448287321735,0.014551712678265716,1.0
268,16.2,16.234615152569564,0.0346151525695646,1.0
269,14.8,14.774603848573921,0.025396151426079427,1.0
270,16.2,16.22731230123261,0.027312301232612413,1.0
271,15.9,15.730729208021765,0.16927079197823502,1.0
272,14.8,14.782546647844518,0.01745335215548316,1.0
273,12.0,11.994546190489345,0.0054538095106551054,0.0
274,13.1,12.98365470261778,0.11634529738221921,1.0
275,16.2,16.184972324905583,0.015027675094415827,1.0
276,15.6,15.556993882125536,0.04300611787446407,1.0
277,16.7,16.668526274546615,0.03147372545338456,1.0
278,15.6,15.576013476477613,0.02398652352238706,1.0
279,15.6,15.610589049228452,0.010589049228451941,1.0
280,10.9,10.973618815944738,0.07361881594473729,1.0
281,12.0,12.001527062082536,0.001527062082535835,0.0
282,16.4,16.168294046369333,0.23170595363066582,1.0
